Building,City,Country,Height,Floors,Built
Jiangxi Nanchang Greenland Central Plaza,Nanchang,China,303.0,59,2015
Heung Kong Tower,Shenzhen,China,303.0,61,2014
Leatop Plaza,Guangzhou,China,303.0,65,2011
Wells Fargo Plaza,Houston,United States,302.0,71,1983
Kingdom Centre,Riyadh,Saudi Arabia,302.0,41,2002
Gate of the Orient,Suzhou,China,302.0,68,2015
Moscow Tower,Moscow,Russia,302.0,76,2010
We've the Zenith Tower A,Busan,South Korea,301.0,80,2011
Gran Torre Santiago,Santiago,Chile,300.0,62,2012
Abeno Harukas,Osaka,Japan,300.0,60,2014
Arraya 2,Kuwait City,Kuwait,300.0,60,2009
Aspire Tower,Doha,Qatar,300.0,36,2007
